시군구명,접근성 변수명,위도,경도
창원시,버스정류장_마산리,35.34421461,128.6178728
창원시,버스정류장_대방,35.34322094,128.6944991
창원시,버스정류장_대방,35.34276844,128.6948312
창원시,버스정류장_양교,35.34284541,128.667571
창원시,버스정류장_현천,35.3438192,128.5821382
창원시,버스정류장_현천,35.34339411,128.5826413
창원시,버스정류장_양교,35.34251013,128.6677639
창원시,버스정류장_중리,35.34129341,128.5915006
창원시,버스정류장_중리경로당,35.34113217,128.5915062
창원시,버스정류장_대산초등학교,35.33866319,128.7087949
창원시,버스정류장_대산초등학교,35.33870259,128.7090139
창원시,버스정류장_신촌주유소,35.33977044,128.6011532
창원시,버스정류장_신촌주유소,35.33973421,128.6010096
창원시,버스정류장_합산,35.33765692,128.6772907
창원시,버스정류장_합산,35.3375815,128.6773869
창원시,버스정류장_가촌마을,35.33629113,128.6976921
창원시,버스정류장_가촌마을,35.33627111,128.6978382
창원시,버스정류장_가술,35.33532932,128.7090879
창원시,버스정류장_가촌,35.33541892,128.7017388
창원시,버스정류장_가촌,35.33533196,128.7016911
창원시,버스정류장_가술정류장,35.33516263,128.7088864
창원시,버스정류장_영신아파트,35.3364351,128.6002381
창원시,버스정류장_영신아파트,35.33642627,128.6000774
창원시,버스정류장_금동,35.33319449,128.6669378
창원시,버스정류장_금동,35.33312544,128.6670842
창원시,버스정류장_용산입구,35.33273119,128.6787689
창원시,버스정류장_용산입구,35.33278581,128.6788801
창원시,버스정류장_용산,35.33084242,128.6710773
창원시,버스정류장_용산,35.33111514,128.6710663
창원시,버스정류장_신동,35.33090322,128.6001216
창원시,버스정류장_신동,35.33012566,128.6007987
창원시,버스정류장_북면양촌,35.32894091,128.5893272
창원시,버스정류장_백양마을,35.32762224,128.6873494
창원시,버스정류장_백양마을,35.32749478,128.6873298
창원시,버스정류장_신음,35.32869158,128.5847338
창원시,버스정류장_신음,35.32881224,128.5849666
창원시,버스정류장_신동이주단지,35.32753376,128.6017207
창원시,버스정류장_신동이주단지,35.32739939,128.6019839
창원시,버스정류장_금산마을,35.32344425,128.6637451
창원시,버스정류장_신등마을,35.32286643,128.6950357
창원시,버스정류장_금산마을,35.32323176,128.6635343
창원시,버스정류장_신등마을,35.32273381,128.6950207
창원시,버스정류장_명호마을,35.32100086,128.6021103
창원시,버스정류장_명호마을,35.3207854,128.6022759
창원시,버스정류장_월산,35.3202882,128.6253331
창원시,버스정류장_월산,35.32016087,128.6253252
창원시,버스정류장_월촌,35.3195008,128.6171506
창원시,버스정류장_월촌,35.3193491,128.6171497
창원시,버스정류장_월촌교,35.31901912,128.6092337
창원시,버스정류장_월촌교,35.31891276,128.6094378
창원시,버스정류장_남백마을종점,35.31853516,128.6368892
창원시,버스정류장_남백마을종점,35.31837445,128.636611
창원시,버스정류장_동전(14),35.31914415,128.6028752
창원시,버스정류장_마룡,35.31744959,128.6616563
창원시,버스정류장_동전,35.31811734,128.6033415
창원시,버스정류장_마룡,35.31744055,128.6617715
창원시,버스정류장_무동센텀파라디아아파트,35.31887438,128.5799316
창원시,버스정류장_무동센텀파라디아아파트,35.31824974,128.5797637
창원시,버스정류장_무동입구,35.31636963,128.5849012
창원시,버스정류장_무동입구,35.31618115,128.5862493
창원시,버스정류장_주남,35.31556482,128.6943567
창원시,버스정류장_주남,35.31561672,128.6942331
창원시,버스정류장_동전,35.31621992,128.5985878
창원시,버스정류장_동전,35.31628623,128.5985654
창원시,버스정류장_석산,35.31312289,128.6588753
창원시,버스정류장_까치골,35.3119017,128.6051317
창원시,버스정류장_석산,35.31264622,128.6586971
창원시,버스정류장_1366경남센터,35.31273357,128.5986795
창원시,버스정류장_까치골,35.31211771,128.6056242
창원시,버스정류장_1366경남센터,35.3129172,128.5985963
창원시,버스정류장_고양이주단지,35.31017632,128.6572364
창원시,버스정류장_고양이주단지,35.3105305,128.6575322
창원시,버스정류장_대천,35.30964798,128.6020565
창원시,버스정류장_대천,35.30960711,128.6022593
창원시,버스정류장_판신,35.30763212,128.6863315
창원시,버스정류장_판신,35.3076727,128.6867987
창원시,버스정류장_감나무골,35.30757175,128.6007584
창원시,버스정류장_감나무골,35.30697317,128.6006924
창원시,버스정류장_감계리,35.30733699,128.5997989
창원시,버스정류장_감계리,35.30754373,128.5997304
창원시,버스정류장_고양,35.3060693,128.6554104
