시군구명	접근성 변수명	위도	경도
창원시	버스정류장_한국폴리텍7대학	35.22016765	128.6657587
창원시	버스정류장_대동백화점	35.21961548	128.6921917
창원시	버스정류장_경창상가	35.21960268	128.6796226
창원시	버스정류장_봉암동	35.2206786	128.5958915
창원시	버스정류장_사파초등학교	35.21930543	128.6985882
창원시	버스정류장_국제주유소	35.22081443	128.5707652
창원시	버스정류장_마산여중	35.22070343	128.5618842
창원시	버스정류장_상남교회	35.21867755	128.7014442
창원시	버스정류장_토월대동아파트	35.21867571	128.6903105
창원시	버스정류장_토월대동아파트	35.21872363	128.6901055
창원시	버스정류장_토월대동아파트후문	35.21860812	128.6859492
창원시	버스정류장_사파동성아파트	35.21833943	128.7023822
창원시	버스정류장_사파동성아파트	35.21822611	128.7019847
창원시	버스정류장_토월대동아파트후문	35.21849897	128.6858591
창원시	버스정류장_상남대우아파트	35.21852643	128.6807132
창원시	버스정류장_사파삼익1차아파트	35.21832492	128.6960349
창원시	버스정류장_상남대우아파트	35.2184253	128.6805624
창원시	버스정류장_신세계백화점	35.21887471	128.5870619
창원시	버스정류장_동마산주유소	35.21969057	128.5817056
창원시	버스정류장_사파삼익1차아파트	35.2180131	128.6959144
창원시	버스정류장_봉암공단 입구	35.21933543	128.6000532
창원시	버스정류장_신세계백화점	35.21959548	128.5871657
창원시	버스정류장_동중입구	35.21960534	128.5708317
창원시	버스정류장_중앙체육공원	35.21818741	128.6738091
창원시	버스정류장_마산여중	35.21964243	128.5614782
창원시	버스정류장_창원병원	35.21922026	128.6730425
창원시	버스정류장_동마산주유소	35.21916743	128.5814862
창원시	버스정류장_사파삼익아파트	35.21756121	128.6939959
창원시	버스정류장_회원1동	35.2192542	128.5747426
창원시	버스정류장_웅남초등학교	35.21769743	128.6873732
창원시	버스정류장_창원병원	35.21793028	128.670417
창원시	버스정류장_봉암공단 입구	35.21873251	128.6010381
창원시	버스정류장_창원병원	35.21774543	128.6720982
창원시	버스정류장_웅남초등학교	35.21747447	128.6874303
창원시	버스정류장_회원1동	35.21891053	128.5745036
창원시	버스정류장_삼계성당법륜사	35.21984703	128.5017292
창원시	버스정류장_삼계성당법륜사	35.21980725	128.5016146
창원시	버스정류장_창원병원	35.21746775	128.6704202
창원시	버스정류장_회원초등학교	35.21879043	128.5679636
창원시	버스정류장_삼학사	35.2186309	128.560853
창원시	버스정류장_회원초등학교	35.21848343	128.5671412
창원시	버스정류장_회원2동파출소	35.21866943	128.5638082
창원시	버스정류장_동중입구	35.21845943	128.5705432
창원시	버스정류장_회원신협	35.21843263	128.5649448
창원시	버스정류장_외동초등학교	35.21690156	128.6821283
창원시	버스정류장_수원지입구	35.21789929	128.6050208
창원시	버스정류장_외동초등학교	35.21680543	128.6823582
창원시	버스정류장_토월성원아파트	35.21641913	128.6943978
창원시	버스정류장_수원지입구.정다운병원	35.21765594	128.604899
