시군구명,주차장명,위도,경도
김해시,수릉원,35.235053,128.8757902
김해시,봉하마을안내소,35.314239,128.769828
김해시,종합관광안내소,35.239225,128.873923
김해시,강동마을 공영주차장,35.218651,128.876423
김해시,경운공원 주변 공영주차장,35.23750955,128.854712
김해시,김해여중앞 공영주차장,35.238219,128.877675
김해시,내동 15통 공영주차장,35.239247,128.859653
김해시,내동 평전사거리 공영주차장,35.240418,128.8606267
김해시,내동중학교 앞,35.240065,128.859003
김해시,대동 안막마을,35.236484,128.994401
김해시,대청계곡 주차장,35.184191,128.773665
김해시,무계동 제1주차장,35.197932,128.814323
김해시,무계동 제2주차장,35.198401,128.812741
김해시,무척산 주차장,35.347188,128.855235
의령군,평촌마을 주차장,35.33384945,128.227201
의령군,포외마을 주차장,35.37059637,128.413119
의령군,동동(동본)주차장,35.32165447,128.2633148
의령군,의령 동동 공영주차장,35.3184158,128.2670261
의령군,석정마을 주차장,35.44754716,128.2489606
의령군,신기마을 주차장,35.47979008,128.4113706
의령군,신암(신정)마을 주차장,35.40062928,128.3706676
의령군,정곡마을 주차장,35.47473362,128.393504
의령군,방계마을 주차장,35.48334232,128.3765085
의령군,방계마을 주차장,35.47578782,128.2162751
의령군,세간마을 주차장,35.43666834,128.3449743
의령군,죽전1구마을 주차장,35.47241064,128.2715703
의령군,괴진마을 주차장,35.35280655,128.2427765
의령군,내조마을 주차장,35.3535777,128.1951762
의령군,다사마을 주차장,35.35932528,128.1406823
의령군,당동마을 주차장,35.4358243,128.3173096
의령군,당지마을1 주차장,35.48413857,128.4116523
의령군,암하마을 주차장,35.38734114,128.1592912
의령군,오암(오동골)마을 주차장,35.3697216,128.3002175
의령군,웅곡마을 주차장,35.33809787,128.1289905
의령군,죽전마을 주차장,35.36592003,128.1342221
의령군,가야슈퍼-동창이용원 주차장,35.3218049,128.263492
의령군,농업기술센타 진입로 주차장,35.32224342,128.2568588
의령군,의령초등학교 옆 주차장,35.32184614,128.2602657
의령군,604주유소-삼영파크 주차장,35.31967998,128.2555724
의령군,충익사 광장 주차장,35.3172286,128.2624364
의령군,시외버스터미널 공용주차장,35.3202133,128.2544395
의령군,나림마을 주차장,35.38261859,128.3864981
의령군,독대마을 주차장,35.36573735,128.3837562
의령군,신반공용주차장1,35.46622776,128.3257469
의령군,신반공용주차장2,35.4663485,128.3235628
의령군,의령시장제1주차장(공작예식장),35.31729478,128.2608621
의령군,의령시장제1주차장(하나로마트앞),35.31717217,128.2597706
의령군,가례마을 주차장,35.32311239,128.2437458
의령군,방동마을 주차장,35.47499064,128.2218805
의령군,동동(소입)주차장,35.32251418,128.2644363
의령군,서암마을 주차장,35.48177974,128.2356404
의령군,백산마을 주차장,35.4318208,128.3777769
의령군,사현마을 주차장,35.47402241,128.2644525
의령군,성당마을 주차장,35.36359137,128.3895125
의령군,오천마을 주차장,35.38761986,128.3962211
의령군,웅곡마을 주차장,35.38641942,128.4046532
