시군구명,접근성 변수명,남,여
김해시,세대인구_외국인,12818,5093
김해시,세대인구_성별,270652,264477
김해시,거주인구_총인구,57721,54775
김해시,연령별_100세 이상인구,5,27
김해시,연령별_10대미만 인구,21779," 20,601 "
김해시,연령별_10대인구," 30,940 "," 29,174 "
김해시,연령별_20대인구," 34,741 "," 28,539 "
김해시,연령별_30대인구," 33,357 "," 30,653 "
김해시,연령별_40대인구," 46,969 "," 47,415 "
김해시,연령별_50대인구," 50,916 "," 49,258 "
김해시,연령별_60대인구," 34,467 "," 32,811 "
김해시,연령별_70대인구," 12,906 "," 15,715 "
김해시,연령별_80대인구," 4,265 "," 8,920 "
김해시,연령별_90대인구, 307 ," 1,364 "
창원시,세대인구_외국인,8315,5673
창원시,세대인구_성별,517211,504276
창원시,거주인구_연령,525526,509949
창원시,연령별_10대미만 인구," 37,466 "," 35,271 "
창원시,연령별_10대인구," 50,941 "," 46,877 "
창원시,연령별_20대인구," 66,129 "," 51,628 "
창원시,연령별_30대인구," 66,714 "," 58,479 "
창원시,연령별_40대인구," 84,196 "," 80,564 "
창원시,연령별_50대인구," 90,067 "," 91,459 "
창원시,연령별_60대인구," 77,760 "," 79,792 "
창원시,연령별_70대인구," 32,827 "," 37,438 "
창원시,연령별_80대인구," 10,354 "," 19,492 "
창원시,연령별_90대인구, 746 ," 3,223 "
창원시,연령별_100세 이상인구,11,53
의령군,세대인구_외국인,510,230
의령군,세대인구_성별,12893,13168
의령군,거주인구_총인구,13403,13398
의령군,연령별_100세 이상인구,3,14
의령군,연령별_10대미만 인구, 492 , 433 
의령군,연령별_10대인구, 748 , 667 
의령군,연령별_20대인구, 949 , 651 
의령군,연령별_30대인구, 839 , 747 
의령군,연령별_40대인구," 1,478 "," 1,125 "
의령군,연령별_50대인구," 2,446 "," 1,925 "
의령군,연령별_60대인구," 3,213 "," 2,785 "
의령군,연령별_70대인구," 1,715 "," 2,128 "
의령군,연령별_80대인구, 904 ," 2,264 "
의령군,연령별_90대인구, 106 , 429 
산청군,세대인구_외국인,282,337
산청군,세대인구_성별,16871,17157
산청군,거주인구_총인구,17153,17494
산청군,연령별_100세 이상인구,3,11
산청군,연령별_10대미만 인구, 572 , 526 
산청군,연령별_10대인구," 1,065 ", 885 
산청군,연령별_20대인구," 1,194 ", 893 
산청군,연령별_30대인구," 1,019 ", 817 
산청군,연령별_40대인구," 1,711 "," 1,438 "
산청군,연령별_50대인구," 3,336 "," 2,714 "
산청군,연령별_60대인구," 4,214 "," 3,856 "
산청군,연령별_70대인구," 2,431 "," 2,766 "
산청군,연령별_80대인구," 1,211 "," 2,727 "
산청군,연령별_90대인구, 115 , 524 
